EventLog,RecordNumber,TimeGenerated,TimeWritten,EventID,EventType,EventTypeName,EventCategory,EventCategoryName,SourceName,Strings,ComputerName,SID,Message,Data
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2638,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2639,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2640,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2641,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2642,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2643,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2644,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2645,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2646,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
G:\Program Files (x86)\Log Parser 2.2\remote.evtx,2647,2021/9/7 16:01,2021/9/7 16:01,261,4,Information event,0,None,Microsoft-Windows-TerminalServices-RemoteConnectionManager,RDP-Tcp,USER-20200925IG,S-1-5-20,"The description for Event ID 261 in Source ""Microsoft-Windows-TerminalServices-RemoteConnectionManager"" cannot be found. The local computer may not have the necessary registry information or message DLL files to display messages from a remote computer",
